# Index	Name	log nH [cm^-3]	R [kpc]		Tk	Z
283		dif_283	-4.0600       	-0.4000       	3.3000e+00    	0.0000        
284		dif_284	-4.0600       	-0.4000       	4.1000e+00    	0.0000        
285		dif_285	-4.0600       	-0.4000       	4.9000e+00    	0.0000        
286		dif_286	-4.0600       	-0.4000       	5.7000e+00    	0.0000        
287		dif_287	-4.0600       	-0.4000       	6.5000e+00    	0.0000        
288		dif_288	-4.0600       	-0.1000       	2.5000e+00    	-3.0000       
289		dif_289	-4.0600       	-0.1000       	3.3000e+00    	-3.0000       
290		dif_290	-4.0600       	-0.1000       	4.1000e+00    	-3.0000       
291		dif_291	-4.0600       	-0.1000       	4.9000e+00    	-3.0000       
292		dif_292	-4.0600       	-0.1000       	5.7000e+00    	-3.0000       
293		dif_293	-4.0600       	-0.1000       	6.5000e+00    	-3.0000       
294		dif_294	-4.0600       	-0.1000       	2.5000e+00    	-2.4000       
295		dif_295	-4.0600       	-0.1000       	3.3000e+00    	-2.4000       
296		dif_296	-4.0600       	-0.1000       	4.1000e+00    	-2.4000       
297		dif_297	-4.0600       	-0.1000       	4.9000e+00    	-2.4000       
298		dif_298	-4.0600       	-0.1000       	5.7000e+00    	-2.4000       
299		dif_299	-4.0600       	-0.1000       	6.5000e+00    	-2.4000       
300		dif_300	-4.0600       	-0.1000       	2.5000e+00    	-1.8000       
301		dif_301	-4.0600       	-0.1000       	3.3000e+00    	-1.8000       
302		dif_302	-4.0600       	-0.1000       	4.1000e+00    	-1.8000       
303		dif_303	-4.0600       	-0.1000       	4.9000e+00    	-1.8000       
304		dif_304	-4.0600       	-0.1000       	5.7000e+00    	-1.8000       
305		dif_305	-4.0600       	-0.1000       	6.5000e+00    	-1.8000       
306		dif_306	-4.0600       	-0.1000       	2.5000e+00    	-1.2000       
307		dif_307	-4.0600       	-0.1000       	3.3000e+00    	-1.2000       
308		dif_308	-4.0600       	-0.1000       	4.1000e+00    	-1.2000       
309		dif_309	-4.0600       	-0.1000       	4.9000e+00    	-1.2000       
310		dif_310	-4.0600       	-0.1000       	5.7000e+00    	-1.2000       
311		dif_311	-4.0600       	-0.1000       	6.5000e+00    	-1.2000       
312		dif_312	-4.0600       	-0.1000       	2.5000e+00    	-0.6000       
313		dif_313	-4.0600       	-0.1000       	3.3000e+00    	-0.6000       
314		dif_314	-4.0600       	-0.1000       	4.1000e+00    	-0.6000       
315		dif_315	-4.0600       	-0.1000       	4.9000e+00    	-0.6000       
316		dif_316	-4.0600       	-0.1000       	5.7000e+00    	-0.6000       
317		dif_317	-4.0600       	-0.1000       	6.5000e+00    	-0.6000       
318		dif_318	-4.0600       	-0.1000       	2.5000e+00    	0.0000        
319		dif_319	-4.0600       	-0.1000       	3.3000e+00    	0.0000        
320		dif_320	-4.0600       	-0.1000       	4.1000e+00    	0.0000        
321		dif_321	-4.0600       	-0.1000       	4.9000e+00    	0.0000        
322		dif_322	-4.0600       	-0.1000       	5.7000e+00    	0.0000        
323		dif_323	-4.0600       	-0.1000       	6.5000e+00    	0.0000        
324		dif_324	-4.0600       	0.2000        	2.5000e+00    	-3.0000       
325		dif_325	-4.0600       	0.2000        	3.3000e+00    	-3.0000       
326		dif_326	-4.0600       	0.2000        	4.1000e+00    	-3.0000       
327		dif_327	-4.0600       	0.2000        	4.9000e+00    	-3.0000       
328		dif_328	-4.0600       	0.2000        	5.7000e+00    	-3.0000       
329		dif_329	-4.0600       	0.2000        	6.5000e+00    	-3.0000       
330		dif_330	-4.0600       	0.2000        	2.5000e+00    	-2.4000       
331		dif_331	-4.0600       	0.2000        	3.3000e+00    	-2.4000       
332		dif_332	-4.0600       	0.2000        	4.1000e+00    	-2.4000       
333		dif_333	-4.0600       	0.2000        	4.9000e+00    	-2.4000       
334		dif_334	-4.0600       	0.2000        	5.7000e+00    	-2.4000       
335		dif_335	-4.0600       	0.2000        	6.5000e+00    	-2.4000       
336		dif_336	-4.0600       	0.2000        	2.5000e+00    	-1.8000       
337		dif_337	-4.0600       	0.2000        	3.3000e+00    	-1.8000       
338		dif_338	-4.0600       	0.2000        	4.1000e+00    	-1.8000       
339		dif_339	-4.0600       	0.2000        	4.9000e+00    	-1.8000       
340		dif_340	-4.0600       	0.2000        	5.7000e+00    	-1.8000       
341		dif_341	-4.0600       	0.2000        	6.5000e+00    	-1.8000       
342		dif_342	-4.0600       	0.2000        	2.5000e+00    	-1.2000       
343		dif_343	-4.0600       	0.2000        	3.3000e+00    	-1.2000       
344		dif_344	-4.0600       	0.2000        	4.1000e+00    	-1.2000       
345		dif_345	-4.0600       	0.2000        	4.9000e+00    	-1.2000       
346		dif_346	-4.0600       	0.2000        	5.7000e+00    	-1.2000       
347		dif_347	-4.0600       	0.2000        	6.5000e+00    	-1.2000       
348		dif_348	-4.0600       	0.2000        	2.5000e+00    	-0.6000       
349		dif_349	-4.0600       	0.2000        	3.3000e+00    	-0.6000       
350		dif_350	-4.0600       	0.2000        	4.1000e+00    	-0.6000       
351		dif_351	-4.0600       	0.2000        	4.9000e+00    	-0.6000       
352		dif_352	-4.0600       	0.2000        	5.7000e+00    	-0.6000       
353		dif_353	-4.0600       	0.2000        	6.5000e+00    	-0.6000       
354		dif_354	-4.0600       	0.2000        	2.5000e+00    	0.0000        
355		dif_355	-4.0600       	0.2000        	3.3000e+00    	0.0000        
356		dif_356	-4.0600       	0.2000        	4.1000e+00    	0.0000        
357		dif_357	-4.0600       	0.2000        	4.9000e+00    	0.0000        
358		dif_358	-4.0600       	0.2000        	5.7000e+00    	0.0000        
359		dif_359	-4.0600       	0.2000        	6.5000e+00    	0.0000        
360		dif_360	-4.0600       	0.5000        	2.5000e+00    	-3.0000       
361		dif_361	-4.0600       	0.5000        	3.3000e+00    	-3.0000       
362		dif_362	-4.0600       	0.5000        	4.1000e+00    	-3.0000       
363		dif_363	-4.0600       	0.5000        	4.9000e+00    	-3.0000       
364		dif_364	-4.0600       	0.5000        	5.7000e+00    	-3.0000       
365		dif_365	-4.0600       	0.5000        	6.5000e+00    	-3.0000       
366		dif_366	-4.0600       	0.5000        	2.5000e+00    	-2.4000       
367		dif_367	-4.0600       	0.5000        	3.3000e+00    	-2.4000       
368		dif_368	-4.0600       	0.5000        	4.1000e+00    	-2.4000       
369		dif_369	-4.0600       	0.5000        	4.9000e+00    	-2.4000       
370		dif_370	-4.0600       	0.5000        	5.7000e+00    	-2.4000       
371		dif_371	-4.0600       	0.5000        	6.5000e+00    	-2.4000       
372		dif_372	-4.0600       	0.5000        	2.5000e+00    	-1.8000       
373		dif_373	-4.0600       	0.5000        	3.3000e+00    	-1.8000       
374		dif_374	-4.0600       	0.5000        	4.1000e+00    	-1.8000       
375		dif_375	-4.0600       	0.5000        	4.9000e+00    	-1.8000       
